Chrom.1		
UV		
ml	mAU	
0.435	0.09797952	
0.436	0.09683516	
0.438	0.09610834	
0.439	0.09582543	
0.441	0.09640582	
0.442	0.09523051	
0.444	0.09424145	
0.445	0.09243631	
0.447	0.09197789	
0.448	0.09325809	
0.45	0.09398492	
0.451	0.09353635	
0.453	0.09359373	
0.454	0.09295269	
0.456	0.09134831	
0.457	0.09028991	
0.459	0.08965684	
0.46	0.08910715	
0.462	0.08696201	
0.463	0.08571626	
0.465	0.08575756	
0.466	0.08582959	
0.468	0.0845893	
0.469	0.08392007	
0.471	0.08325987	
0.472	0.08263307	
0.474	0.08246182	
0.475	0.08086454	
0.477	0.08080792	
0.478	0.08007535	
0.48	0.07980672	
0.481	0.07970089	
0.483	0.07989707	
0.484	0.07968417	
0.486	0.07840316	
0.487	0.07718758	
0.489	0.07633112	
0.49	0.07546359	
0.492	0.07521847	
0.493	0.07501908	
0.495	0.07485411	
0.496	0.07471371	
0.498	0.07262144	
0.499	0.07250834	
0.501	0.07254615	
0.502	0.07254343	
0.504	0.07207926	
0.505	0.07206453	
0.507	0.07126351	
0.508	0.07222325	
0.51	0.07176419	
0.511	0.07269636	
0.513	0.0719522	
0.514	0.07231049	
0.516	0.07235735	
0.517	0.07244819	
0.519	0.07203399	
0.52	0.07220256	
0.522	0.07245957	
0.523	0.0709603	
0.525	0.0711347	
0.526	0.07059317	
0.528	0.06881395	
0.529	0.0690226	
0.531	0.06968882	
0.532	0.07014414	
0.534	0.07171935	
0.535	0.07241043	
0.537	0.07353196	
0.538	0.07506679	
0.54	0.07488953	
0.541	0.07492088	
0.543	0.07540039	
0.544	0.07570253	
0.546	0.07515053	
0.547	0.07516736	
0.549	0.07502603	
0.55	0.07625327	
0.552	0.07636818	
0.553	0.07653389	
0.555	0.07655104	
0.556	0.07644989	
0.558	0.07674321	
0.559	0.07695668	
0.561	0.07804187	
0.562	0.07905018	
0.564	0.07898379	
0.565	0.07871962	
0.567	0.0800866	
0.568	0.07972965	
0.57	0.08057501	
0.571	0.080084	
0.573	0.08095234	
0.574	0.08048382	
0.576	0.08085086	
0.577	0.08131128	
0.579	0.08240475	
0.58	0.08252874	
0.582	0.08238624	
0.583	0.08085933	
0.585	0.08086879	
0.586	0.08140625	
0.587	0.08162783	
0.589	0.08171155	
0.59	0.08151561	
0.592	0.08282474	
0.593	0.08337469	
0.595	0.08406302	
0.596	0.08349051	
0.598	0.08402421	
0.599	0.08330055	
0.601	0.08278107	
0.602	0.08313287	
0.604	0.08162721	
0.605	0.0811617	
0.607	0.08016162	
0.608	0.07902559	
0.61	0.07862479	
0.611	0.0772985	
0.613	0.07632127	
0.614	0.07622793	
0.616	0.07701611	
0.617	0.07694399	
0.619	0.07662991	
0.62	0.07634109	
0.622	0.07671793	
0.623	0.076715	
0.625	0.07685	
0.626	0.07660922	
0.628	0.07658063	
0.629	0.07657079	
0.631	0.07657055	
0.632	0.07517853	
0.634	0.07495058	
0.635	0.07448209	
0.637	0.07306219	
0.638	0.07332215	
0.64	0.073678	
0.641	0.07234821	
0.643	0.0724418	
0.644	0.07217987	
0.646	0.07281817	
0.647	0.07196148	
0.649	0.07322001	
0.65	0.0726367	
0.652	0.07205864	
0.653	0.07091396	
0.655	0.07007379	
0.656	0.06981596	
0.658	0.07071868	
0.659	0.07077874	
0.661	0.07012513	
0.662	0.06973716	
0.664	0.06892653	
0.665	0.06841803	
0.667	0.06743692	
0.668	0.06673612	
0.67	0.06547774	
0.671	0.06542887	
0.673	0.06542575	
0.674	0.06578118	
0.676	0.06642889	
0.677	0.06632323	
0.679	0.06722084	
0.68	0.06698884	
0.682	0.0679156	
0.683	0.06822281	
0.685	0.06861515	
0.686	0.06985083	
0.688	0.07091372	
0.689	0.07036123	
0.691	0.07036658	
0.692	0.06853241	
0.694	0.06814722	
0.695	0.06928278	
0.697	0.06924229	
0.698	0.06977431	
0.7	0.06931375	
0.701	0.06934926	
0.703	0.06839635	
0.704	0.06798781	
0.706	0.06821141	
0.707	0.06826255	
0.709	0.06806441	
0.71	0.06787094	
0.712	0.06874292	
0.713	0.06867625	
0.715	0.06884447	
0.716	0.06905901	
0.718	0.06888685	
0.719	0.06817096	
0.721	0.0673715	
0.722	0.06809751	
0.724	0.06670246	
0.725	0.06620197	
0.727	0.06538908	
0.728	0.06537487	
0.73	0.06565915	
0.731	0.06670869	
0.733	0.06683211	
0.734	0.06657971	
0.736	0.06665318	
0.737	0.06646826	
0.739	0.06611426	
0.74	0.06643382	
0.742	0.0651925	
0.743	0.06441719	
0.745	0.06465973	
0.746	0.06470809	
0.748	0.0646736	
0.749	0.06439351	
0.751	0.0644212	
0.752	0.06526134	
0.754	0.06543307	
0.755	0.06528658	
0.757	0.06530387	
0.758	0.06541241	
0.76	0.06501564	
0.761	0.06433333	
0.763	0.06377685	
0.764	0.06425197	
0.766	0.06414679	
0.767	0.06543072	
0.769	0.06589795	
0.77	0.06485397	
0.772	0.0641343	
0.773	0.0639679	
0.775	0.06355397	
0.776	0.06340805	
0.778	0.0639556	
0.779	0.06390624	
0.781	0.06346246	
0.782	0.06297138	
0.784	0.06252203	
0.785	0.06205591	
0.787	0.06196756	
0.788	0.06241813	
0.79	0.06171014	
0.791	0.06200845	
0.793	0.0626565	
0.794	0.06316891	
0.796	0.06371652	
0.797	0.06412867	
0.799	0.06510033	
0.8	0.06587001	
0.802	0.06762005	
0.803	0.0680159	
0.805	0.06825709	
0.806	0.06740355	
0.808	0.06737963	
