Chrom.1		
UV		
ml	mAU	
0.433	0.05098339	
0.435	0.05041276	
0.436	0.04930767	
0.438	0.04798537	
0.439	0.04738258	
0.441	0.04655153	
0.442	0.04608967	
0.444	0.045964	
0.445	0.04519755	
0.447	0.0456221	
0.448	0.04632972	
0.45	0.04680955	
0.451	0.0476147	
0.453	0.0468713	
0.454	0.04830167	
0.456	0.04911517	
0.457	0.04910504	
0.459	0.04892436	
0.46	0.04921759	
0.462	0.04998386	
0.463	0.05010057	
0.465	0.05026982	
0.466	0.04995664	
0.468	0.05088053	
0.469	0.05044312	
0.471	0.04994509	
0.472	0.04996359	
0.474	0.04986518	
0.475	0.04834507	
0.477	0.04804839	
0.478	0.04703854	
0.48	0.04718477	
0.481	0.04710647	
0.483	0.04579592	
0.484	0.04579592	
0.486	0.04378628	
0.487	0.0425236	
0.489	0.04176486	
0.49	0.04108783	
0.492	0.04174111	
0.493	0.0410486	
0.495	0.04005724	
0.496	0.03861871	
0.498	0.03789499	
0.499	0.03613881	
0.501	0.03572111	
0.502	0.03546411	
0.504	0.03575905	
0.505	0.03554806	
0.507	0.03603992	
0.508	0.03568191	
0.51	0.03553295	
0.511	0.03580963	
0.513	0.03575006	
0.514	0.03574416	
0.516	0.0348598	
0.517	0.03498872	
0.519	0.03519891	
0.52	0.03617334	
0.522	0.03627548	
0.523	0.03605601	
0.525	0.03512963	
0.526	0.03429203	
0.528	0.03493435	
0.529	0.03318528	
0.531	0.03207556	
0.532	0.03191882	
0.534	0.0312792	
0.535	0.0311341	
0.537	0.03007508	
0.538	0.02933105	
0.54	0.02846171	
0.541	0.02749597	
0.543	0.02565633	
0.544	0.02534549	
0.546	0.02595601	
0.547	0.0258918	
0.549	0.02677132	
0.55	0.02763893	
0.552	0.02791321	
0.553	0.02870796	
0.555	0.02934349	
0.556	0.02926393	
0.558	0.03007285	
0.559	0.03115161	
0.561	0.03254196	
0.562	0.03314016	
0.564	0.03334431	
0.565	0.03346558	
0.567	0.03313471	
0.568	0.03399433	
0.57	0.0338595	
0.571	0.03485916	
0.573	0.03519425	
0.574	0.03664904	
0.576	0.03696742	
0.577	0.03658196	
0.579	0.036855	
0.58	0.03661853	
0.582	0.03714488	
0.583	0.03738717	
0.585	0.03804198	
0.586	0.03811715	
0.588	0.03844251	
0.589	0.03774569	
0.591	0.03857927	
0.592	0.0376676	
0.594	0.03700497	
0.595	0.03653369	
0.597	0.03636782	
0.598	0.03531435	
0.6	0.0342892	
0.601	0.03377475	
0.603	0.03323677	
0.604	0.03375481	
0.606	0.03447071	
0.607	0.03510496	
0.609	0.03446294	
0.61	0.03415343	
0.612	0.0337523	
0.613	0.03372203	
0.615	0.03341253	
0.616	0.03295714	
0.618	0.03353991	
0.619	0.03373157	
0.621	0.03308257	
0.622	0.03270488	
0.624	0.03207324	
0.625	0.03195658	
0.627	0.03113606	
0.628	0.03067131	
0.63	0.03011125	
0.631	0.03027403	
0.633	0.03029332	
0.634	0.02933754	
0.636	0.02749274	
0.637	0.02653516	
0.638	0.02511407	
0.64	0.02438745	
0.641	0.02387542	
0.643	0.02370805	
0.644	0.02274747	
0.646	0.02118122	
0.647	0.01996639	
0.649	0.0190471	
0.65	0.0179827	
0.652	0.01797153	
0.653	0.01782636	
0.655	0.01790289	
0.656	0.01777189	
0.658	0.01750744	
0.659	0.01698103	
0.661	0.01597065	
0.662	0.01453351	
0.664	0.01371736	
0.665	0.01323436	
0.667	0.01343315	
0.668	0.01347484	
0.67	0.01302258	
0.671	0.01210976	
0.673	0.01204923	
0.674	0.01292063	
0.676	0.01360592	
0.677	0.01406056	
0.679	0.01429334	
0.68	0.0146946	
0.682	0.01447723	
0.683	0.01512362	
0.685	0.01561918	
0.686	0.01640811	
0.688	0.01782011	
0.689	0.01841318	
0.691	0.01912305	
0.692	0.01889264	
0.694	0.01876721	
0.695	0.01870562	
0.697	0.01895499	
0.698	0.01905016	
0.7	0.01926913	
0.701	0.02011682	
0.703	0.02068635	
0.704	0.02087659	
0.706	0.02053116	
0.707	0.02034179	
0.709	0.02078796	
0.71	0.02188621	
0.712	0.02252522	
0.713	0.02313461	
0.715	0.02335647	
0.716	0.02313747	
0.718	0.02286099	
0.719	0.02350029	
0.721	0.02448022	
0.722	0.02481746	
0.724	0.02516372	
0.725	0.0263508	
0.727	0.02639739	
0.728	0.02582967	
0.73	0.02589965	
0.731	0.02544404	
0.733	0.02462934	
0.734	0.02435658	
0.736	0.02465915	
0.737	0.02559825	
0.739	0.02649958	
0.74	0.026759	
0.742	0.02721642	
0.743	0.02730734	
0.745	0.02703923	
0.746	0.02723874	
0.748	0.02758253	
0.749	0.02785507	
0.751	0.02784965	
0.752	0.02791186	
0.754	0.02826922	
0.755	0.02770554	
0.757	0.02690343	
0.758	0.02685134	
0.76	0.0269424	
0.761	0.02694352	
0.763	0.02632252	
0.764	0.02585324	
0.766	0.02558921	
0.767	0.02537327	
0.769	0.02504361	
0.77	0.0245508	
0.772	0.02427646	
0.773	0.02392205	
0.775	0.02348179	
0.776	0.02271368	
0.778	0.02165029	
0.779	0.02105693	
0.781	0.02113097	
0.782	0.0209634	
0.784	0.02087079	
0.785	0.02100112	
0.787	0.02155539	
0.788	0.02166438	
0.79	0.02203546	
0.791	0.02235325	
0.793	0.02264392	
0.794	0.02210354	
0.796	0.02151729	
0.797	0.02205936	
0.799	0.02276895	
0.8	0.02193808	
0.802	0.02148181	
0.803	0.02160202	
0.805	0.02145689	
0.806	0.02125928	
0.808	0.02167041	
0.809	0.0214863	
0.811	0.0206331	
0.812	0.02068974	
0.814	0.02093641	
0.815	0.0207063	
0.817	0.01996829	
0.818	0.0189112	
0.82	0.01863656	
0.821	0.01854548	
0.823	0.01795439	
0.824	0.01731179	
0.826	0.01705736	
0.827	0.01674368	
0.829	0.0162175	
0.83	0.01664863	
0.832	0.0168799	
0.833	0.01689875	
0.835	0.01662884	
0.836	0.01599494	
0.838	0.01565564	
0.839	0.01592305	
0.841	0.01660007	
0.842	0.01761712	
0.844	0.01834353	
0.845	0.01886884	
0.847	0.01954069	
0.848	0.02001508	
0.85	0.02022549	
0.851	0.02051013	
0.853	0.02087497	
0.854	0.02090468	
0.856	0.02081769	
0.857	0.02103015	
0.859	0.02149007	
0.86	0.02197294	
0.862	0.02210333	
0.863	0.02143835	
0.865	0.02082754	
0.866	0.0202588	
0.868	0.02010616	
0.869	0.02106763	
0.871	0.02241874	
0.872	0.0225176	
0.874	0.0219439	
0.875	0.02184863	
0.877	0.02231879	
0.878	0.022839	
0.88	0.02365785	
0.881	0.02452271	
0.883	0.02506102	
0.884	0.02524615	
0.885	0.02600139	
0.887	0.02619119	
0.888	0.02568307	
0.89	0.02553505	
0.891	0.02552448	
0.893	0.02571242	
0.894	0.02546242	
0.896	0.02534717	
0.897	0.02540764	
0.899	0.02509845	
0.9	0.02511313	
0.902	0.02552751	
0.903	0.02537863	
0.905	0.02486821	
0.906	0.02530434	
0.908	0.02544488	
0.909	0.02519998	
0.911	0.02534867	
0.912	0.02599196	
0.914	0.02625178	
0.915	0.02567111	
0.917	0.02503035	
0.918	0.02468258	
0.92	0.02465386	
0.921	0.02417787	
0.923	0.02354066	
0.924	0.02297625	
0.926	0.02210943	
0.927	0.02194118	
0.929	0.02174328	
