Chrom.1		
UV		
ml	mAU	
0.444	0.1643374	
0.445	0.1615049	
0.447	0.1585822	
0.448	0.1563571	
0.45	0.1527342	
0.451	0.1488261	
0.453	0.145788	
0.454	0.1439036	
0.456	0.1414447	
0.457	0.1405671	
0.459	0.1400245	
0.46	0.1377377	
0.462	0.1364119	
0.463	0.1360604	
0.465	0.1345727	
0.466	0.1331532	
0.468	0.1312296	
0.469	0.1313683	
0.471	0.1304267	
0.472	0.1281564	
0.474	0.1273452	
0.475	0.126622	
0.477	0.1266153	
0.478	0.1255981	
0.48	0.1244142	
0.481	0.1234036	
0.483	0.1219213	
0.484	0.1194717	
0.486	0.1179078	
0.487	0.1157966	
0.489	0.114754	
0.49	0.1135209	
0.492	0.1117277	
0.493	0.1101672	
0.495	0.1079008	
0.496	0.1065119	
0.498	0.1062612	
0.499	0.1039986	
0.501	0.1027092	
0.502	0.101933	
0.504	0.1019011	
0.505	0.101732	
0.507	0.1010499	
0.508	0.1013592	
0.51	0.1017766	
0.511	0.1004272	
0.513	0.09987544	
0.514	0.1002193	
0.516	0.09982266	
0.517	0.0993339	
0.519	0.098604	
0.52	0.09893398	
0.522	0.0987072	
0.523	0.09795249	
0.525	0.09770076	
0.526	0.09786966	
0.528	0.09929783	
0.529	0.09847724	
0.531	0.09801999	
0.532	0.09815646	
0.534	0.09663986	
0.535	0.09670336	
0.537	0.09695708	
0.538	0.09601221	
0.54	0.0948133	
0.541	0.09388692	
0.543	0.09310373	
0.544	0.09248499	
0.546	0.09180573	
0.547	0.09181236	
0.549	0.09162474	
0.55	0.0905958	
0.552	0.08894034	
0.553	0.08784087	
0.555	0.0875996	
0.556	0.08721071	
0.558	0.08674216	
0.559	0.08622499	
0.561	0.085237	
0.562	0.08622745	
0.564	0.0863267	
0.565	0.0865953	
0.567	0.08784905	
0.568	0.08802444	
0.57	0.08720335	
0.571	0.08679289	
0.573	0.08662818	
0.574	0.08668152	
0.575	0.0873706	
0.577	0.08754715	
0.578	0.08672633	
0.58	0.08577269	
0.581	0.0843556	
0.583	0.08311026	
0.584	0.08141853	
0.586	0.08175667	
0.587	0.08251814	
0.589	0.08226175	
0.59	0.08178695	
0.592	0.08145348	
0.593	0.08109161	
0.595	0.08101548	
0.596	0.08095279	
0.598	0.08093867	
0.599	0.0808244	
0.601	0.08094662	
0.602	0.07986888	
0.604	0.07950003	
0.605	0.07877461	
0.607	0.07763432	
0.608	0.07766161	
0.61	0.07756945	
0.611	0.07663582	
0.613	0.07667522	
0.614	0.07676355	
0.616	0.07740409	
0.617	0.07745361	
0.619	0.07628502	
0.62	0.07567625	
0.622	0.07454787	
0.623	0.07407345	
0.625	0.07457033	
0.626	0.07451113	
0.628	0.07330094	
0.629	0.0727187	
0.631	0.07211182	
0.632	0.07137074	
0.634	0.07181317	
0.635	0.07174226	
0.637	0.07052594	
0.638	0.06906991	
0.64	0.06807549	
0.641	0.06689397	
0.643	0.06603488	
0.644	0.06591059	
0.646	0.06582867	
0.647	0.06540409	
0.649	0.06543265	
0.65	0.06454258	
0.652	0.06306289	
0.653	0.06314329	
0.655	0.06300702	
0.656	0.06267862	
0.658	0.06167213	
0.659	0.05989	
0.661	0.05852993	
0.662	0.0565611	
0.664	0.05542986	
0.665	0.05498755	
0.667	0.05451599	
0.668	0.05458221	
0.67	0.05393616	
0.671	0.05377496	
0.673	0.05348361	
0.674	0.05302633	
0.676	0.05179837	
0.677	0.05270826	
