Chrom.1		
UV		
ml	mAU	
0.445	0.2269558	
0.447	0.2256548	
0.448	0.2240894	
0.45	0.2222585	
0.451	0.2205245	
0.453	0.2190409	
0.454	0.2173304	
0.456	0.2157523	
0.457	0.2138471	
0.459	0.2121118	
0.46	0.2106888	
0.462	0.208931	
0.463	0.2067137	
0.465	0.2049404	
0.466	0.2038882	
0.468	0.2028715	
0.469	0.2005287	
0.471	0.2002745	
0.472	0.2005259	
0.474	0.200615	
0.475	0.2000735	
0.477	0.1987242	
0.478	0.1966275	
0.48	0.1961025	
0.481	0.1943034	
0.483	0.1932486	
0.484	0.1912273	
0.486	0.1885184	
0.487	0.1865085	
0.489	0.1856363	
0.49	0.1837233	
0.492	0.1836634	
0.493	0.1832129	
0.495	0.1820313	
0.496	0.1816702	
0.498	0.1820624	
0.499	0.1821891	
0.501	0.1830909	
0.502	0.1827803	
0.504	0.1809418	
0.505	0.1802204	
0.507	0.178519	
0.508	0.1769349	
0.51	0.1759599	
0.511	0.1743633	
0.513	0.1737681	
0.514	0.1730476	
0.516	0.1730812	
0.517	0.1730826	
0.519	0.1721022	
0.52	0.1702038	
0.522	0.1685607	
0.523	0.1679673	
0.525	0.1674312	
0.526	0.1677227	
0.528	0.1681109	
0.529	0.1674536	
0.531	0.1673047	
0.532	0.1668871	
0.534	0.1658123	
0.535	0.1665674	
0.537	0.1665419	
0.538	0.1667318	
0.54	0.1660439	
0.541	0.1644639	
0.543	0.1630888	
0.544	0.1624656	
0.546	0.16125	
0.547	0.1589536	
0.549	0.1588966	
0.55	0.1576778	
0.552	0.1566609	
0.553	0.1565904	
0.555	0.1545124	
0.556	0.1538092	
0.558	0.1523658	
0.559	0.1511085	
0.561	0.1507312	
0.562	0.1501139	
0.564	0.1487732	
0.565	0.1482841	
0.567	0.1469217	
0.568	0.1459482	
0.57	0.1448533	
0.571	0.1432771	
0.573	0.1424847	
0.574	0.1409462	
0.576	0.1389845	
0.577	0.1374165	
0.579	0.136873	
0.58	0.1351201	
0.582	0.1338898	
0.583	0.1336662	
0.585	0.1328548	
0.586	0.1323484	
0.588	0.1318692	
0.589	0.1298985	
0.591	0.1289423	
0.592	0.1277034	
0.594	0.1281045	
0.595	0.1273342	
0.597	0.1276677	
0.598	0.126353	
0.6	0.1273049	
0.601	0.1264619	
0.603	0.1247933	
0.604	0.1248999	
0.606	0.1244336	
0.607	0.1245489	
0.609	0.1240255	
0.61	0.1215786	
0.612	0.120066	
0.613	0.1191596	
0.615	0.1183711	
0.616	0.1183986	
0.618	0.1188603	
0.619	0.1205169	
0.621	0.1193949	
0.622	0.1181929	
0.624	0.1166076	
0.625	0.1150549	
0.627	0.1146035	
0.628	0.1141176	
0.63	0.1143186	
0.631	0.1145129	
0.633	0.1149518	
0.634	0.115609	
0.636	0.1153186	
0.637	0.1154162	
0.639	0.1148026	
0.64	0.1135301	
0.642	0.1124386	
0.643	0.1119247	
0.645	0.1110846	
0.646	0.110753	
0.648	0.1097818	
0.649	0.1093277	
0.65	0.1087515	
0.652	0.1076226	
0.653	0.107557	
0.655	0.1080055	
0.656	0.1081522	
0.658	0.1083527	
0.659	0.1072067	
0.661	0.1080668	
0.662	0.106424	
0.664	0.1065821	
0.665	0.1056154	
0.667	0.1063955	
0.668	0.1052368	
0.67	0.1046497	
0.671	0.1032953	
0.673	0.1030638	
0.674	0.1019012	
0.676	0.1010971	
0.677	0.1003986	
0.679	0.09896067	
0.68	0.09809719	
0.682	0.09715927	
0.683	0.09717314	
0.685	0.0970974	
0.686	0.09727509	
0.688	0.09651847	
0.689	0.09722689	
0.691	0.0964454	
0.692	0.09559917	
0.694	0.09392425	
0.695	0.09372925	
0.697	0.0937868	
0.698	0.09412223	
0.7	0.09409303	
0.701	0.09301538	
0.703	0.09283434	
0.704	0.09307931	
0.706	0.09317584	
0.707	0.09361159	
0.709	0.09395749	
0.71	0.09340015	
0.712	0.09419229	
0.713	0.09374865	
0.715	0.09237447	
0.716	0.09242196	
0.718	0.09195836	
0.719	0.09242024	
0.721	0.09194483	
0.722	0.090985	
0.724	0.09201352	
0.725	0.09305733	
0.727	0.09464943	
0.728	0.09560619	
0.73	0.09557081	
0.731	0.09535906	
0.733	0.09475014	
0.734	0.0951547	
0.736	0.09482907	
0.737	0.09480574	
0.739	0.09514788	
0.74	0.09527828	
0.742	0.09430894	
0.743	0.09349159	
0.745	0.09317167	
0.746	0.0937795	
0.748	0.09444083	
0.749	0.09473763	
0.751	0.09548675	
0.752	0.09645179	
0.754	0.09714876	
0.755	0.09759812	
0.757	0.09756373	
0.758	0.09732008	
0.76	0.09753355	
0.761	0.09813282	
0.763	0.09963513	
0.764	0.09889726	
0.766	0.09918878	
0.767	0.09909872	
0.769	0.09905136	
0.77	0.09957349	
0.772	0.09967622	
0.773	0.09994613	
0.775	0.1008996	
0.776	0.1023032	
0.778	0.1033367	
0.779	0.1029459	
0.781	0.1021975	
0.782	0.1009011	
0.784	0.0994593	
0.785	0.09937273	
0.787	0.09948243	
0.788	0.0998585	
0.79	0.1014892	
0.791	0.1030396	
0.793	0.1031499	
0.794	0.1027654	
0.796	0.1035956	
0.797	0.104481	
0.799	0.1042488	
0.8	0.1035409	
0.802	0.1023206	
0.803	0.1009327	
0.805	0.1007227	
0.806	0.1011299	
0.808	0.1007825	
0.809	0.10067	
0.811	0.1004103	
0.812	0.1009377	
0.814	0.1017708	
0.815	0.1023878	
0.817	0.1034823	
0.818	0.1045121	
0.82	0.1054183	
0.821	0.1055453	
0.823	0.1050005	
0.824	0.1048724	
0.826	0.1047392	
0.827	0.1041925	
0.829	0.1048065	
0.83	0.1049335	
0.832	0.1052298	
0.833	0.1056415	
0.835	0.1059613	
0.836	0.1056709	
0.838	0.1048293	
0.839	0.1048989	
0.841	0.1052527	
0.842	0.1047503	
0.844	0.1043454	
0.845	0.1040383	
0.847	0.1039428	
0.848	0.1035308	
0.85	0.1032336	
0.851	0.1026024	
0.853	0.1013787	
0.854	0.10115	
0.856	0.1014969	
0.857	0.1021794	
0.859	0.1035236	
0.86	0.1038855	
0.862	0.1035277	
0.863	0.1033663	
0.865	0.1032284	
0.866	0.1024143	
0.868	0.1025793	
0.869	0.1026365	
0.871	0.1015905	
0.872	0.101005	
0.874	0.1008093	
0.875	0.1010689	
0.877	0.100832	
0.878	0.1004187	
0.88	0.1007914	
0.881	0.1008118	
0.883	0.1019889	
0.884	0.102237	
0.886	0.1021709	
0.887	0.1018994	
0.889	0.1014149	
0.89	0.1010487	
0.892	0.1010859	
0.893	0.1012766	
0.895	0.1009472	
0.896	0.1000167	
0.897	0.09968116	
0.899	0.09964307	
0.9	0.09865563	
0.902	0.09798314	
0.903	0.09786215	
0.905	0.09763151	
0.906	0.09750019	
0.908	0.09717391	
0.909	0.09725707	
0.911	0.09803188	
0.912	0.09842417	
0.914	0.09883904	
0.915	0.09894496	
0.917	0.09881695	
0.918	0.0991303	
0.92	0.0993275	
0.921	0.0996543	
0.923	0.1001337	
0.924	0.09984651	
0.926	0.09993794	
0.927	0.1002968	
0.929	0.1005372	
0.93	0.1000215	
0.932	0.09956687	
0.933	0.09870739	
0.935	0.09780265	
0.936	0.09685791	
0.938	0.09576097	
0.939	0.09508614	
0.941	0.09474209	
0.942	0.09419961	
0.944	0.09370624	
0.945	0.09382655	
0.947	0.09356431	
0.948	0.09296754	
0.95	0.09190912	
0.951	0.09150008	
0.953	0.09234875	
0.954	0.09185508	
0.956	0.09134337	
0.957	0.09128841	
0.959	0.08971577	
0.96	0.08782422	
0.962	0.08621269	
0.963	0.08519991	
0.965	0.08468352	
0.966	0.08393251	
0.968	0.0832111	
0.969	0.08299011	
0.971	0.08331726	
0.972	0.08378407	
0.974	0.08412381	
0.975	0.08446577	
0.977	0.08393355	
0.978	0.08310355	
0.98	0.08265471	
0.981	0.08184776	
0.983	0.08078495	
0.984	0.0793106	
0.986	0.07767846	
0.987	0.07722776	
0.989	0.07638473	
0.99	0.0757146	
0.992	0.0759268	
0.993	0.07587201	
0.995	0.07528564	
0.996	0.07431345	
0.998	0.07356112	
0.999	0.07379337	
1.001	0.07373682	
1.002	0.07367552	
1.004	0.07248637	
1.005	0.07276113	
1.007	0.07239402	
1.008	0.07084458	
1.01	0.07204457	
1.011	0.07423387	
1.013	0.07590629	
1.014	0.07713927	
1.016	0.07826649	
1.017	0.07893503	
1.019	0.07948381	
1.02	0.08004493	
1.022	0.08094779	
1.023	0.08218987	
1.025	0.08320471	
1.026	0.08355725	
1.028	0.08509184	
1.029	0.08685602	
1.031	0.0884604	
1.032	0.0901024	
1.034	0.09076028	
1.035	0.0909544	
1.037	0.0918032	
1.038	0.09150103	
1.04	0.09133356	
1.041	0.09198296	
1.043	0.09357169	
1.044	0.09452183	
1.046	0.09377225	
1.047	0.09371183	
1.049	0.09351415	
1.05	0.09363562	
1.052	0.09424581	
1.053	0.09433307	
1.055	0.09408934	
1.056	0.09450742	
1.058	0.09351475	
1.059	0.09245486	
1.061	0.09418624	
1.062	0.09525739	
1.064	0.0956822	
1.065	0.09595805	
1.067	0.09655984	
1.068	0.09730686	
1.07	0.09722644	
1.071	0.09660044	
1.073	0.09697314	
1.074	0.09760589	
1.076	0.09784509	
1.077	0.09801761	
1.079	0.09896699	
